timestamp,src_ip,dst_ip,dst_port,protocol,flag,tipo_ataque
2025-04-22 14:44:48,192.168.0.8,192.168.0.23,7527,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:27,192.168.0.8,192.168.0.23,25038,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:29,192.168.0.8,192.168.0.23,25087,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:30,192.168.0.8,192.168.0.23,25121,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:32,192.168.0.8,192.168.0.23,26756,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:34,192.168.0.8,192.168.0.23,26805,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:36,192.168.0.8,192.168.0.23,26853,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:37,192.168.0.8,192.168.0.23,28135,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:39,192.168.0.8,192.168.0.23,28183,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:41,192.168.0.8,192.168.0.23,28232,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:42,192.168.0.8,192.168.0.23,29325,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:44,192.168.0.8,192.168.0.23,29375,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:46,192.168.0.8,192.168.0.23,29425,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:48,192.168.0.8,192.168.0.23,30567,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:49,192.168.0.8,192.168.0.23,30617,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:51,192.168.0.8,192.168.0.23,30667,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:53,192.168.0.8,192.168.0.23,31751,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:55,192.168.0.8,192.168.0.23,31801,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:56,192.168.0.8,192.168.0.23,31850,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:45:58,192.168.0.8,192.168.0.23,32883,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:00,192.168.0.8,192.168.0.23,32932,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:02,192.168.0.8,192.168.0.23,32982,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:03,192.168.0.8,192.168.0.23,33980,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:05,192.168.0.8,192.168.0.23,34030,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:09,192.168.0.8,192.168.0.23,34080,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:12,192.168.0.8,192.168.0.23,35289,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:14,192.168.0.8,192.168.0.23,35327,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:15,192.168.0.8,192.168.0.23,36013,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:17,192.168.0.8,192.168.0.23,35596,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:19,192.168.0.8,192.168.0.23,36102,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:21,192.168.0.8,192.168.0.23,36821,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:23,192.168.0.8,192.168.0.23,36861,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:24,192.168.0.8,192.168.0.23,36861,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:25,192.168.0.8,192.168.0.23,36906,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:27,192.168.0.8,192.168.0.23,37814,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:29,192.168.0.8,192.168.0.23,37864,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:31,192.168.0.8,192.168.0.23,37914,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:33,192.168.0.8,192.168.0.23,38659,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:36,192.168.0.8,192.168.0.23,38709,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:37,192.168.0.8,192.168.0.23,3004,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:39,192.168.0.8,192.168.0.23,3048,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:40,192.168.0.8,192.168.0.23,39346,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:42,192.168.0.8,192.168.0.23,3136,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:43,192.168.0.8,192.168.0.23,40121,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:46,192.168.0.8,192.168.0.23,6257,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:47,192.168.0.8,192.168.0.23,6290,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:49,192.168.0.8,192.168.0.23,9318,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:51,192.168.0.8,192.168.0.23,9358,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:52,192.168.0.8,192.168.0.23,9410,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:54,192.168.0.8,192.168.0.23,11458,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:55,192.168.0.8,192.168.0.23,11501,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:57,192.168.0.8,192.168.0.23,41719,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:46:58,192.168.0.8,192.168.0.23,41733,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:00,192.168.0.8,192.168.0.23,15109,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:40,192.168.0.8,192.168.0.23,47647,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:41,192.168.0.8,192.168.0.23,28757,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:43,192.168.0.8,192.168.0.23,28790,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:44,192.168.0.8,192.168.0.23,47696,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:46,192.168.0.8,192.168.0.23,30191,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:47,192.168.0.8,192.168.0.23,48392,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:49,192.168.0.8,192.168.0.23,48406,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:51,192.168.0.8,192.168.0.23,30287,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:52,192.168.0.8,192.168.0.23,49095,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:54,192.168.0.8,192.168.0.23,31646,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:55,192.168.0.8,192.168.0.23,31678,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:57,192.168.0.8,192.168.0.23,31705,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:47:58,192.168.0.8,192.168.0.23,49756,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:00,192.168.0.8,192.168.0.23,49775,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:01,192.168.0.8,192.168.0.23,49792,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:03,192.168.0.8,192.168.0.23,33018,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:05,192.168.0.8,192.168.0.23,34171,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:06,192.168.0.8,192.168.0.23,50883,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:08,192.168.0.8,192.168.0.23,34236,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:09,192.168.0.8,192.168.0.23,51428,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:11,192.168.0.8,192.168.0.23,51447,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:12,192.168.0.8,192.168.0.23,35166,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:14,192.168.0.8,192.168.0.23,51498,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:16,192.168.0.8,192.168.0.23,52047,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:17,192.168.0.8,192.168.0.23,36093,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:19,192.168.0.8,192.168.0.23,36119,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:20,192.168.0.8,192.168.0.23,36147,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:22,192.168.0.8,192.168.0.23,52630,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:23,192.168.0.8,192.168.0.23,36944,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:25,192.168.0.8,192.168.0.23,52698,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:27,192.168.0.8,192.168.0.23,36964,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:28,192.168.0.8,192.168.0.23,37954,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:30,192.168.0.8,192.168.0.23,37987,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:31,192.168.0.8,192.168.0.23,38016,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:33,192.168.0.8,192.168.0.23,38045,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:48:34,192.168.0.8,192.168.0.23,38859,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:29,192.168.0.8,192.168.0.23,46282,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:30,192.168.0.8,192.168.0.23,46310,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:32,192.168.0.8,192.168.0.23,46343,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:33,192.168.0.8,192.168.0.23,58026,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:35,192.168.0.8,192.168.0.23,58369,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:37,192.168.0.8,192.168.0.23,58385,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:38,192.168.0.8,192.168.0.23,58402,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:40,192.168.0.8,192.168.0.23,47663,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:41,192.168.0.8,192.168.0.23,47694,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:43,192.168.0.8,192.168.0.23,47731,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:45,192.168.0.8,192.168.0.23,58728,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:49:47,192.168.0.8,192.168.0.23,59058,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:12,192.168.0.8,192.168.0.23,51640,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:13,192.168.0.8,192.168.0.23,51676,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:15,192.168.0.8,192.168.0.23,51708,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:18,192.168.0.8,192.168.0.23,52290,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:20,192.168.0.8,192.168.0.23,60946,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:21,192.168.0.8,192.168.0.23,52358,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:23,192.168.0.8,192.168.0.23,52392,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:25,192.168.0.8,192.168.0.23,61223,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:26,192.168.0.8,192.168.0.23,52921,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:28,192.168.0.8,192.168.0.23,52953,TCP/UDP,N/A,Port Scan (Clasificación_ML)
2025-04-22 14:50:29,192.168.0.8,192.168.0.23,53321,TCP/UDP,N/A,Port Scan (Clasificación_ML)
